,Date,Antibiotic target replacement_site1,Antibiotic target alteration_site1,Antibiotic target protection_site1,Reduced permeability to antibiotic_site1,Antibiotic inactivation_site2,Antibiotic target replacement_site2,Antibiotic target alteration_site2,Antibiotic target protection_site2,Reduced permeability to antibiotic_site2,Antibiotic inactivation_site3,Antibiotic target replacement_site3,Antibiotic target alteration_site3,Antibiotic target protection_site3,Reduced permeability to antibiotic_site3,Antibiotic inactivation_site4,Antibiotic target replacement_site4,Antibiotic target alteration_site4,Antibiotic target protection_site4,Reduced permeability to antibiotic_site4,Antibiotic inactivation_site5,Antibiotic target replacement_site5,Antibiotic target alteration_site5,Antibiotic target protection_site5,Reduced permeability to antibiotic_site5,Antibiotic inactivation_site6,Antibiotic target replacement_site6,Antibiotic target alteration_site6,Antibiotic target protection_site6,Reduced permeability to antibiotic_site6,Antibiotic inactivation_site7,Antibiotic target replacement_site7,Antibiotic target alteration_site7,Antibiotic target protection_site7,Reduced permeability to antibiotic_site7,Antibiotic inactivation_site8,Antibiotic target replacement_site8,Antibiotic target alteration_site8,Antibiotic target protection_site8,Reduced permeability to antibiotic_site8,Antibiotic inactivation_site9,Antibiotic target replacement_site9,Antibiotic target alteration_site9,Antibiotic target protection_site9,Reduced permeability to antibiotic_site9
0,2018-07-18,0.0,0.0,0.0,0.0,0.8208000000015403,0.0,0.0,0.0,0.0,1.0000000000003446,1.0000000000003446,0.8737235871001914,1.0000000000021636,0.0,0.9817000000012708,1.0000000000003446,1.7763568394002505e-15,0.0,0.0,1.0000000000021636,1.0000000000003446,0.8725103629563864,0.0,0.0,1.0000000000003446,1.0000000000003446,0.9939704552325135,1.0000000000003446,0.9946187430192472,0.0,0.0,0.0,0.0,0.0,0.8244873341362338,0.0,0.0,0.0,0.0,1.0000000000021636,0.0,0.0,0.0,0.0
1,2018-07-19,0.0,4.1522341120980855e-13,0.0,0.0,0.82080128120732,0.0,0.0,0.0,0.0,1.0000016316235913,1.0000016316235913,0.8737249696947005,1.0000016316235913,0.0,0.9817015949282186,1.0000016316217724,0.0,0.0,0.0,1.0000016316235913,1.0000016563691436,0.8725117454339633,4.18554080283684e-13,0.0,1.0000016316254103,1.0000016316254103,0.9939720994117414,1.0000016316235913,0.9946203885130991,0.0,0.0,0.0,0.0,0.0,0.8244886449244815,0.0,4.1522341120980855e-13,0.0,0.0,1.0000016316272293,0.0,0.0,0.0,0.0
2,2018-07-20,0.0,0.0,0.0,0.0,0.8207999999982283,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.9999999999985258,1.0000000000003446,0.8737235871001914,1.0000000000021636,3.552713678800501e-15,0.9817000000012708,1.0000000000003446,0.0,0.0,3.552713678800501e-15,0.9999999999985258,1.0000000000003446,0.8725103629563864,0.0,0.0,0.9999999999985258,0.9999999999985258,0.9939704552325135,0.9999999999985258,0.9946187430210613,0.0,0.0,0.0,0.0,0.0,0.8244873341345744,0.0,0.0,0.0,0.0,1.0000000000039826,0.0,0.0,0.0,0.0
3,2018-07-21,0.0,0.0,0.0,0.0,0.8207997803900589,4.0274166224207875e-09,4.027384647997678e-09,4.027384647997678e-09,0.0,0.9999997197304771,0.9999997197322961,0.8737233499433301,0.9999997197304771,4.027384647997678e-09,0.9816997260844025,0.9999997197322961,4.0272833956578324e-09,4.0272478685210444e-09,4.027384647997678e-09,0.9999997197322961,0.9999997116796311,0.8725101254830443,0.0,0.0,0.9999997197304771,0.9999997197304771,0.9939701690305263,0.9999997197304771,0.9946184565917802,0.0,0.0,0.0,0.0,0.0,0.8244871059673955,0.0,0.0,0.0,0.0,0.9999997197322961,0.0,0.0,0.0,0.0
4,2018-07-22,0.0,0.0,0.0,0.0,0.8207999999982283,1.7763568394002505e-15,0.0,0.0,0.0,1.0000000000003446,1.0000000000003446,0.8737235871001914,1.0000000000021636,0.0,0.9817000000048755,1.0000000000003446,3.552713678800501e-15,0.0,0.0,1.0000000000039826,0.9999999999985258,0.8725103629563864,0.0,0.0,1.0000000000003446,1.0000000000003446,0.9939704552325135,0.9999999999985258,0.9946187430192472,0.0,0.0,0.0,0.0,0.0,0.8244873341345744,0.0,0.0,0.0,0.0,1.0000000000021636,0.0,0.0,0.0,0.0
5,2018-07-23,0.0,8.681944052568724e-14,0.0,0.0,0.8208000384557013,0.0,0.0,0.0,0.0,1.0000000496714891,1.0000000496696702,0.8737236287988344,1.0000000496714891,0.0,0.9817000484969858,1.0000000496714891,0.0,0.0,0.0,1.0000000496733081,1.000000054850152,0.8725104050486805,8.770761894538737e-14,0.0,1.0000000496696702,1.0000000496696702,0.9939705096757647,1.0000000496678512,0.994618797511039,0.0,0.0,0.0,0.0,0.0,0.824487377541814,0.0,8.681944052568724e-14,0.0,0.0,1.0000000496733081,0.0,0.0,0.0,0.0
6,2018-07-24,0.0,0.0,0.0,0.0,0.8207999999965723,0.0,0.0,0.0,0.0,1.0000000000003446,0.9999999999985258,0.8737235870984872,1.0000000000003446,0.0,0.9816999999994684,1.0000000000003446,3.552713678800501e-15,0.0,0.0,1.0000000000003446,0.9999999999985258,0.8725103629580895,0.0,0.0,1.0000000000003446,1.0000000000003446,0.9939704552361404,0.9999999999985258,0.9946187430210613,0.0,0.0,0.0,0.0,0.0,0.8244873341362338,0.0,0.0,0.0,0.0,1.0000000000003446,0.0,0.0,0.0,0.0
7,2018-07-25,0.0,0.0,0.0,0.0,0.8208000490558085,2.910505614295289e-09,2.9104825216563768e-09,2.9104825216563768e-09,0.0,1.0000000614167042,1.0000000614148852,0.8737236397394244,1.0000000614185232,2.9104825216563768e-09,0.9817000601257204,1.0000000614185232,2.9104114673828008e-09,2.910386598387049e-09,2.9104825216563768e-09,1.0000000614167042,1.0000000555959376,0.872510414987612,0.0,0.0,1.0000000614167042,1.0000000614167042,0.9939705104138614,1.0000000614167042,0.9946187982511898,0.0,0.0,0.0,0.0,0.0,0.8244873781308875,0.0,0.0,0.0,0.0,1.0000000614203421,0.0,0.0,0.0,0.0
8,2018-07-26,0.0,0.0,0.0,0.0,0.8207999999982283,0.0,0.0,0.0,0.0,1.0000000000003446,1.0000000000003446,0.8737235870984872,1.0000000000039826,0.0,0.9816999999994684,0.9999999999967069,3.552713678800501e-15,0.0,0.0,1.0000000000003446,1.0000000000003446,0.8725103629563864,0.0,0.0,0.9999999999985258,0.9999999999985258,0.9939704552325135,1.0000000000003446,0.9946187430192472,0.0,0.0,0.0,0.0,0.0,0.8244873341345744,0.0,0.0,0.0,0.0,1.0000000000039826,0.0,0.0,0.0,0.0
9,2018-07-27,0.0,1.9206858326015208e-13,0.0,0.0,0.820799761592715,0.0,0.0,0.0,0.0,0.9999996989030515,0.9999996989030515,0.8737233305484964,0.9999996989048705,0.0,0.9816997054691758,0.9999996989030515,0.0,0.0,0.0,0.9999996989066895,0.999999710357226,0.8725101078548976,1.936228954946273e-13,0.0,0.9999996989030515,0.9999996989030515,0.9939701677175485,0.9999996989048705,0.9946184552765613,0.0,0.0,0.0,0.0,0.0,0.8244871049203386,0.0,1.9206858326015208e-13,0.0,0.0,0.9999996989066895,0.0,0.0,0.0,0.0
