,Date,Amoxycillin,Doxycycline,Clavulanic acid,Cephalexin,Marbofloxacin,Oxytetracycline,Trimethoprim,Cefovecin,Sulphadimethyl pyrimidine,Neomycin,Benzylpenicillin,Kanamycin,Danofloxacin,Sulfadimidine,Sulphadiazine,Tulathromycin,Sulphadoxine,Ceftiofur,Fosfomycin,Tylosin,Dihydrostreptomycin
0,2018-01-01,0.3970871945387986,0.2675314146736927,1.0,0.7498281786941583,0.5,0.07639419404125292,0.42991412213740454,0.8732525629077355,0.4255725190839694,0.2857142857142858,0.799120234604106,0.0,0.07499999999999996,0.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0
1,2018-01-02,0.3902897329894939,0.281826730492466,1.0104154427966097,0.756250269175321,0.5004948374333116,0.07634681003120414,0.43729598327169383,0.884542368984335,0.43156851603487945,0.2758473092347822,0.7657704166046673,0.011503266043422,0.07750185942732446,0.0,0.8966855428993823,0.00020829073213390892,0.02051713112206044,0.0,2.917177610584076e-11,2.917177610584076e-11,0.9846043820745127
2,2018-01-03,0.38380687596812146,0.2965205068851511,1.0181659943473629,0.7591439473075849,0.5005516067647442,0.07627170972435704,0.44352879724067873,0.8926627108555909,0.43622000219519563,0.26607539538263225,0.7320481516212787,0.023796416945731202,0.07986196721705485,0.0,0.917982650024141,0.00042696367646843925,0.043063608865629543,0.0,5.97333293939073e-11,5.97333293939073e-11,0.9651923709781531
3,2018-01-04,0.37768268229256297,0.3116036997931888,1.0232420355147918,0.7586642469614573,0.5001708973020338,0.07617080748615046,0.4486984999360282,0.8977117119883868,0.43960958413487083,0.2565042776251798,0.6981239914217037,0.03687139466337608,0.0820542532245041,0.0,0.938810832634912,0.0006544855895722623,0.0676952075101831,0.0,9.14663900175583e-11,9.14663900175583e-11,0.9419614034363657
4,2018-01-05,0.371959210193924,0.32706553534873106,1.0256648429191841,0.755044615473641,0.49935421001774616,0.07604603437337865,0.4529174231913,0.8998494718951686,0.44184877132934086,0.24723986200949621,0.6641624460588458,0.05071477678666536,0.08405189345599995,0.0,0.9590864596300701,0.0008890864585158198,0.09445602581912982,0.0,1.241211577962531e-10,1.241211577962531e-10,0.9151589678325653
5,2018-01-06,0.366676363251911,0.34289342348788576,1.025485400553538,0.7485858075312353,0.4981039003771397,0.07589932225950591,0.45632012980307946,0.899290861479795,0.4430737829409528,0.2383875145271237,0.6303207269790012,0.06530738442488349,0.08582754337618015,0.0,0.978723087558653,0.0011287612471733155,0.12337568054712089,0.0,1.57415414037132e-10,1.57415414037132e-10,0.8850765955527395
6,2018-01-07,0.3618717541511822,0.3590728743779257,1.0227825159784296,0.7396421287086719,0.4964231175942302,0.07573258788514026,0.4590584347306288,0.8962964128843149,0.44344048265755376,0.2300514223669332,0.5967476873203725,0.08062390833200195,0.08735360323040142,0.0,0.9976318496204097,0.0013712750268339846,0.15446614898380884,0.0,1.910371860702753e-10,1.910371860702753e-10,0.8520428015118298
7,2018-01-08,0.3575805845989837,0.375587418723091,1.0176603278189873,0.7286059654595587,0.4943157413914345,0.07554771696641494,0.4612958546049959,0.8911618623485114,0.443118704166523,0.2223340346416769,0.5635829633651814,0.09663256491076377,0.0886025144023932,0.0,1.015721904849035,0.001614171733472114,0.18771828512970123,0.0,2.2464474724870342e-10,2.2464474724870342e-10,0.8164152717139916
8,2018-01-09,0.35383553951428204,0.39241853310226227,1.010245312377981,0.7158915810327844,0.491786317367352,0.07534654849552336,0.4632017418263932,0.8842069472233742,0.4422862466062347,0.21533558465025737,0.5309563157651203,0.11329479524546948,0.08954708501454833,0.0,1.032900947793939,0.0018547867629039594,0.22309805777843983,0.0,2.578686153498211e-10,2.578686153498211e-10,0.7785726175845233
9,2018-01-10,0.35066669343898726,0.40954557157509486,1.0006829117099851,0.7019191069665605,0.48883999208788875,0.07513085936806307,0.4649453554667564,0.8757640505790742,0.44112281536445397,0.20915369223519464,0.49898716435579926,0.13056502162186656,0.09016084210337816,0.0,1.0490757780136608,0.002090263577379403,0.2605425869495268,0.0,2.903148832444913e-10,2.903148832444913e-10,0.7389060193663253
