,Date,Isoniazid,Rifampicin,Metronidazole,Pyrazinamide,Azithromycin,Penicillin,Trimethoprim,Sulfamethoxazole,Ciprofloxacin,Ethambutol,Ceftriaxone,Benzathine penicillin,Cefalexin,Flucloxacillin,Sulfadiazine,Chloramphenicol,Kanamycin,Doxycycline ,Levofloxacin,Moxifloxacin,Ethionamide,Clarithromycin,Clindamycin,Nitrofurantoin,Ampicillin,Gentamicin,Ofloxacin,Cefotaxime,Rifabutin,Cefazolin,Amikacin,Piperacillin,Meropenem,Vancomycin,Fosfomycin,Ceftazidime,Cloxacillin
0,2018-01-01,0.0,0.0,0.0,0.0,0.2627859616162269,0.0,0.08604192671819111,0.08591501504881616,0.0,0.0,0.24624481886432692,0.045427521563409456,0.0,0.23181589610315556,0.1646827476846573,0.0,0.22444124336059978,8.881784197001252e-16,0.0,0.0,0.0,0.0,0.003994240280473349,0.0,0.0,0.1553791133511606,0.0,0.2864583333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-01-02,0.004872394451303164,0.00574292088168149,0.004027899941294377,0.0061877239646410676,0.26387775960948723,0.005416024430671795,0.09081182494413165,0.09067990936023973,0.017490277064268867,0.006762372528840599,0.2617703360941357,0.04864535879411669,0.0022209675350672864,0.23870412717951872,0.16607201743055655,0.007059361593303004,0.2389288136650891,0.012836134465856075,0.0,0.0019755588558512116,0.005248611206653653,0.008600585033776031,0.004153352580214875,0.005948063085209565,0.03583122699085095,0.1649061680781032,0.00010418182274318788,0.33611397827185296,0.0004276996404732891,0.002451106988489604,0.010032894647610036,0.003365728631785636,0.0019821201028442648,0.0,0.00010369654737218958,0.0,3.3995029014022293e-13
2,2018-01-03,0.009991155697773646,0.011653122431679819,0.008608896088845297,0.012653535462729737,0.26381185337857804,0.011313267986178932,0.09589592600667385,0.09575893053454565,0.035372649365816855,0.013807782028541604,0.2777305933980547,0.051959525580405286,0.004439202849280344,0.2455006485238045,0.1671701168804618,0.015233594658137672,0.25411192733104127,0.025225333170074693,0.0,0.004219834018699631,0.010618141608284226,0.017971918474555704,0.004303718496670994,0.011937532026895292,0.07349837710067364,0.17352300292961398,0.00021212211224308497,0.38669724123526206,0.0008268505300748075,0.005070096483842157,0.019497933110223853,0.006573205493972445,0.0038081156418403594,0.0,0.00019902389507375773,0.0,6.961098364399732e-13
3,2018-01-04,0.015347939036709057,0.01772441608346531,0.013764466584695878,0.019392124529719057,0.2626301608599979,0.017689054497129986,0.10133427429522768,0.10119211100622127,0.05359296689488269,0.021129794606631114,0.2941077335201092,0.05535916424653031,0.006649115964268759,0.252199979214937,0.16798732127332072,0.02459450574705513,0.26999039398733116,0.037101621478089264,0.0,0.006743526825257584,0.01609873032441178,0.02812359770288886,0.004443788490091416,0.017955813877845506,0.1129481956543481,0.18116557458395732,0.00032300218618575016,0.43797919710511923,0.0011961664320723209,0.007851668517951715,0.028349341753838297,0.009604669050674142,0.005474545625273164,0.0,0.00028585723858132184,0.0,1.0653700144303002e-12
4,2018-01-05,0.020932944036242684,0.023949990601407123,0.019511927396053563,0.026397085523389485,0.26039483690207277,0.024536525526824393,0.10716733860246297,0.10701990699516828,0.07209206469148732,0.028720818893261724,0.31088124709452014,0.05883184444167244,0.008845117866094876,0.2587965811057944,0.16853740336415357,0.03520968073951103,0.2865578421162638,0.048401020348179724,0.0,0.00955569586707905,0.021679779293665602,0.03906127632519096,0.00457198965021699,0.02399023311753523,0.15410452077240677,0.18777580853514153,0.00043590925885683696,0.4897037719265669,0.001534525496651007,0.010789082017395035,0.036544878392614555,0.012443230286526274,0.0069788609544738645,0.0,0.00036411426991955764,0.0,1.4450662888521038e-12
5,2018-01-06,0.02673490767999498,0.030322406347977893,0.02586370498953383,0.033660878545936246,0.25718603024805575,0.03184436705154248,0.11343483545402422,0.1132820222472537,0.09080591280520856,0.03657206682835423,0.3280278846214719,0.06236355276027705,0.011021651398436028,0.26528447439459635,0.1688374999089668,0.04714083278753467,0.3038009073450909,0.05906234498612806,0.0,0.012663557022905891,0.02734996278277335,0.050786343732346584,0.0046867392341003455,0.03002810447202897,0.19686596735045891,0.19330249993434667,0.0005498400304191353,0.5415889605553463,0.0018409794921572242,0.013874143403856287,0.04404636682702545,0.015073048156767799,0.008319426877980929,0.0,0.00043375572856096944,0.0,1.8318679906315083e-12
6,2018-01-07,0.03274110792813345,0.03683359214626658,0.03282658165649943,0.04117479374520738,0.2530990620317439,0.03959656040496462,0.12017443802071326,0.1200161173720411,0.10966585407039608,0.04467351786850626,0.34552158170527747,0.06593870149206427,0.01317322337705007,0.2716568347820534,0.16890792831130463,0.06044189490613916,0.32169842041217867,0.06902800717347168,0.0,0.016072303128255694,0.033097241994943793,0.06329561092339886,0.004786459395672127,0.03605680876798978,0.24110381369874667,0.1977021501466547,0.0006637057419527359,0.5933287772393541,0.0021147619875174772,0.017097210537775798,0.050820196509493876,0.017479502018420856,0.009495538351636856,0.0,0.0004947856929677918,0.0,2.2222224060897133e-12
7,2018-01-08,0.03893737859570923,0.0434748449870348,0.04040092405567863,0.04892891916832154,0.24824116745659475,0.0477721649904026,0.12742039847168507,0.12725643262533182,0.12859893541937883,0.05301388736723256,0.3633333999121513,0.0695401584584705,0.015294437760653867,0.2779055856833239,0.168771957478681,0.07515683922650074,0.34022061346031784,0.0782448053528697,0.0,0.019784950230337772,0.03890888512828039,0.07658100870839624,0.004869593033918873,0.04206387122516819,0.28666019694576783,0.20093971889726547,0.0007763387494812424,0.6445959728992374,0.00235529539111079,0.020447213198710124,0.056837777052303196,0.01964935852723082,0.010507428030833044,0.0,0.0005472516062960953,0.0,2.6121327323380683e-12
8,2018-01-09,0.0453081364044392,0.050236832825871325,0.04857990915903598,0.0569121128876231,0.24272795815492132,0.05634514112506506,0.13520211626433065,0.13503235662212765,0.1475283367180189,0.06158059992762377,0.38143148565561824,0.07314929974485818,0.017380029693259802,0.284021000102223,0.16845553782817446,0.09131721358444667,0.3593283666260725,0.08666468590198884,0.0,0.023802217850790397,0.04477149320763396,0.09062930553485127,0.00493462066697381,0.04803704152016852,0.333346732238472,0.20298927313160164,0.0008865006531535435,0.6950455283255328,0.002562196758935098,0.023911691187020745,0.06207593795581401,0.02157093043158742,0.011356266707516882,0.0,0.0005912440316202527,0.0,2.9971580772780726e-12
9,2018-01-10,0.05183642099312924,0.057109600708537656,0.05734876587855364,0.0651119801595812,0.23667976723618933,0.06528422211886609,0.1435426892746534,0.1433669778747999,0.16637389901098043,0.07035976856416126,0.39978104952794924,0.0767460869251646,0.019424900213666163,0.2899913275418313,0.16798699606932432,0.10893939904885719,0.3789725201819727,0.09424545886870916,0.0,0.028122450966589163,0.05067103197774214,0.10542185324671327,0.004980078219626316,0.053964374889035716,0.38094367583104627,0.20383451564808852,0.0009928919987221008,0.7443189041080436,0.002735282293609975,0.02747685098490371,0.06651726490069843,0.02323422469510339,0.012044156094860536,0.0,0.0006268961339250811,0.0,3.3730795934161506e-12
